NODE_ID,MSG_COUNT,RSSI_PLACEHOLDER,TIMESTAMP_GPS,LATITUDE,LONGITUDE,CO2_PPM,CO_PPM,TEMPERATURE_C,HUMIDITY_PERC,SERVER_TIMESTAMP_UTC
barcoAM01,150,0,2025-06-04T20:38:20.00Z,N/A,N/A,nan,10.0,29.9,50.0,2025-06-04T20:38:18.191301Z
barcoAM01,151,0,2025-06-04T20:38:22.00Z,N/A,N/A,nan,10.0,29.3,50.0,2025-06-04T20:38:19.199786Z
barcoAM01,152,0,2025-06-04T20:38:23.00Z,N/A,N/A,nan,10.0,29.2,50.0,2025-06-04T20:38:20.141508Z
barcoAM01,153,0,2025-06-04T20:38:24.00Z,N/A,N/A,nan,10.0,29.9,50.0,2025-06-04T20:38:21.121023Z
barcoAM01,154,0,2025-06-04T20:38:25.00Z,N/A,N/A,nan,10.0,29.0,50.0,2025-06-04T20:38:22.171975Z
barcoAM01,155,0,2025-06-04T20:38:26.00Z,N/A,N/A,nan,10.0,29.7,50.0,2025-06-04T20:38:23.206644Z
barcoAM01,156,0,2025-06-04T20:38:26.00Z,N/A,N/A,nan,10.0,29.9,50.0,2025-06-04T20:38:24.218950Z
barcoAM01,157,0,2025-06-04T20:38:28.00Z,N/A,N/A,nan,10.0,29.5,50.0,2025-06-04T20:38:25.148015Z
barcoAM01,158,0,2025-06-04T20:38:29.00Z,N/A,N/A,nan,10.0,29.3,50.0,2025-06-04T20:38:26.111458Z
barcoAM01,159,0,2025-06-04T20:38:30.00Z,N/A,N/A,nan,10.0,29.5,50.0,2025-06-04T20:38:27.290867Z
barcoAM01,160,0,2025-06-04T20:38:31.00Z,N/A,N/A,nan,10.0,29.2,50.0,2025-06-04T20:38:28.221903Z
barcoAM01,161,0,2025-06-04T20:38:32.00Z,N/A,N/A,nan,10.0,29.7,50.0,2025-06-04T20:38:29.265185Z
barcoAM01,162,0,2025-06-04T20:38:32.00Z,N/A,N/A,nan,10.0,29.2,50.0,2025-06-04T20:38:30.184499Z
barcoAM01,163,0,2025-06-04T20:38:34.00Z,N/A,N/A,nan,10.0,29.7,50.0,2025-06-04T20:38:31.186436Z
barcoAM01,164,0,2025-06-04T20:38:35.00Z,N/A,N/A,nan,10.0,29.9,50.0,2025-06-04T20:38:32.229932Z
barcoAM01,165,0,2025-06-04T20:38:36.00Z,N/A,N/A,nan,10.0,29.4,49.0,2025-06-04T20:38:33.134380Z
barcoAM01,166,0,2025-06-04T20:38:37.00Z,N/A,N/A,nan,10.0,29.8,50.0,2025-06-04T20:38:34.366779Z
barcoAM01,167,0,2025-06-04T20:38:38.00Z,N/A,N/A,nan,10.0,29.5,50.0,2025-06-04T20:38:35.303143Z
barcoAM01,168,0,2025-06-04T20:38:38.00Z,N/A,N/A,nan,10.0,29.5,49.0,2025-06-04T20:38:36.102265Z
barcoAM01,169,0,2025-06-04T20:38:40.00Z,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T20:38:37.120500Z
barcoAM01,170,0,2025-06-04T20:38:41.00Z,N/A,N/A,nan,10.0,29.8,49.0,2025-06-04T20:38:38.143797Z
barcoAM01,171,0,2025-06-04T20:38:42.00Z,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T20:38:39.157975Z
barcoAM01,172,0,2025-06-04T20:38:43.00Z,N/A,N/A,nan,10.0,29.5,49.0,2025-06-04T20:38:40.199972Z
barcoAM01,173,0,2025-06-04T20:38:44.00Z,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T20:38:41.119006Z
barcoAM01,174,0,2025-06-04T20:38:44.00Z,N/A,N/A,nan,10.0,29.5,49.0,2025-06-04T20:38:42.247632Z
barcoAM01,175,0,2025-06-04T20:38:46.00Z,N/A,N/A,nan,10.0,29.8,49.0,2025-06-04T20:38:43.264246Z
barcoAM01,176,0,2025-06-04T20:38:47.00Z,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T20:38:44.290551Z
barcoAM01,177,0,2025-06-04T20:38:48.00Z,N/A,N/A,nan,10.0,29.8,49.0,2025-06-04T20:38:45.108126Z
barcoAM01,178,0,2025-06-04T20:38:49.00Z,N/A,N/A,nan,10.0,29.4,49.0,2025-06-04T20:38:46.117157Z
barcoAM01,179,0,2025-06-04T20:38:50.00Z,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T20:38:47.168765Z
barcoAM01,180,0,2025-06-04T20:38:50.00Z,N/A,N/A,nan,10.0,29.1,49.0,2025-06-04T20:38:48.197158Z
barcoAM01,181,0,2025-06-04T20:38:52.00Z,N/A,N/A,nan,10.0,29.0,49.0,2025-06-04T20:38:49.323930Z
barcoAM01,182,0,2025-06-04T20:38:53.00Z,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T20:38:50.236436Z
barcoAM01,183,0,2025-06-04T20:38:54.00Z,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T20:38:51.227282Z
barcoAM01,184,0,2025-06-04T20:38:55.00Z,N/A,N/A,nan,10.0,29.3,49.0,2025-06-04T20:38:52.135659Z
barcoAM01,185,0,2025-06-04T20:38:56.00Z,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T20:38:53.299973Z
barcoAM01,186,0,2025-06-04T20:38:56.00Z,N/A,N/A,nan,10.0,29.1,49.0,2025-06-04T20:38:54.195770Z
barcoAM01,187,0,2025-06-04T20:38:58.00Z,N/A,N/A,nan,10.0,29.6,49.0,2025-06-04T20:38:55.154878Z
barcoAM01,188,0,2025-06-04T20:38:59.00Z,N/A,N/A,nan,10.0,29.5,49.0,2025-06-04T20:38:56.121851Z
barcoAM01,189,0,2025-06-04T20:39:00.00Z,N/A,N/A,nan,10.0,29.8,49.0,2025-06-04T20:38:57.190933Z
barcoAM01,190,0,2025-06-04T20:39:01.00Z,N/A,N/A,nan,10.0,29.2,49.0,2025-06-04T20:38:58.123269Z
barcoAM01,191,0,2025-06-04T20:39:02.00Z,N/A,N/A,nan,10.0,29.9,49.0,2025-06-04T20:38:59.124054Z
barcoAM01,192,0,2025-06-04T20:39:02.00Z,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T20:39:00.298348Z
barcoAM01,193,0,2025-06-04T20:39:04.00Z,N/A,N/A,nan,10.0,29.8,49.0,2025-06-04T20:39:01.313172Z
barcoAM01,194,0,2025-06-04T20:39:05.00Z,N/A,N/A,nan,10.0,29.9,49.0,2025-06-04T20:39:02.170184Z
barcoAM01,195,0,2025-06-04T20:39:06.00Z,N/A,N/A,nan,10.0,29.8,49.0,2025-06-04T20:39:03.172749Z
barcoAM01,196,0,2025-06-04T20:39:07.00Z,N/A,N/A,nan,10.0,29.5,49.0,2025-06-04T20:39:04.227289Z
barcoAM01,197,0,2025-06-04T20:39:08.00Z,N/A,N/A,nan,10.0,29.3,49.0,2025-06-04T20:39:05.214920Z
barcoAM01,198,0,2025-06-04T20:39:08.00Z,N/A,N/A,nan,10.0,29.8,49.0,2025-06-04T20:39:06.204073Z
barcoAM01,199,0,2025-06-04T20:39:10.00Z,N/A,N/A,nan,10.0,29.5,49.0,2025-06-04T20:39:07.277889Z
barcoAM01,200,0,2025-06-04T20:39:11.00Z,N/A,N/A,nan,10.0,29.2,49.0,2025-06-04T20:39:08.422246Z
barcoAM01,201,0,2025-06-04T20:39:12.00Z,N/A,N/A,nan,10.0,29.6,49.0,2025-06-04T20:39:09.324897Z
barcoAM01,202,0,2025-06-04T20:39:13.00Z,N/A,N/A,nan,10.0,29.3,49.0,2025-06-04T20:39:10.342999Z
barcoAM01,203,0,2025-06-04T20:39:14.00Z,N/A,N/A,nan,10.0,29.4,49.0,2025-06-04T20:39:11.139317Z
barcoAM01,204,0,2025-06-04T20:39:14.00Z,N/A,N/A,nan,10.0,29.4,49.0,2025-06-04T20:39:12.144794Z
barcoAM01,205,0,2025-06-04T20:39:16.00Z,N/A,N/A,nan,10.0,29.0,49.0,2025-06-04T20:39:13.147814Z
barcoAM01,206,0,2025-06-04T20:39:17.00Z,N/A,N/A,nan,10.0,29.6,49.0,2025-06-04T20:39:14.252428Z
barcoAM01,207,0,2025-06-04T20:39:18.00Z,N/A,N/A,nan,10.0,29.4,49.0,2025-06-04T20:39:15.167882Z
